Title	Assignees	Status	Priority	Estimate	Size	Iteration
Stay on topic in Meetings		Done				
Plan mid-term release		Done				
Documentation mainly on GitHub Wiki		Done				
Read user story and acceptance during sprint review		Done				
Smaller, atomic issues		Done				
Frontend/Backend team communication		Done				
Avoid pushing decsions to extra meetings		Done				
Small follow-up summary messages after meetings		Done				
Using our new milestones - epics - tickets structure		Done				
Earlier feature preparation for sprint		Done				
Code review and code documentation		In Progress				
Better concept for pull request: Discuss in meeting		In Progress				
Discuss deliverables sooner		In Progress				
Have an (async) meeting: Better oncept for pull request review and merging		In Progress				
better testing for errors on pull reqeusts		In Progress				
